gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Nat8l,,21.79478932,5.676017251,Nat8l,2210013O21Rik,0.06160517,0.130902335,S100a16,,Cpne4
Tbc1d9b,,21.73056145,3.611309467,Tbc1d9b,2210015D19Rik,0.317433355,0.35574431,Slc6a11,,Ctxn1
Ctsb,,21.68321834,6.617346135,Ctsb,2210016F16Rik,0.28367355,0.000964009,Limd2,,Camk2a
Heyl,,21.67803649,3.166351653,Sncb,2210016L21Rik,0.125447479,0.000964395,Aebp1,,Kif5a
Sncb,,21.67363731,11.14085139,Cdr1,2210018M11Rik,0.369235005,0.303810595,Ppp3r1,,Sipa1l1
Cdr1,,21.67151755,25.97454943,Heyl,2210404J11Rik,1.260411548,0.639516252,Bmp7,,Pdp1
Pik3r1,,21.65429259,3.936159447,Pik3r1,2210404O07Rik,0,0.001377009,Arpc1b,,Sepp1
Hbb-b2,,21.64423909,2.047952239,Hbb-b2,2210404O09Rik,0.047720114,0.182344392,Fmnl2,,Plekhb2
Celf1,,21.54506061,3.972207747,Celf1,2210408F21Rik,3.54E-06,0.072573145,Lmo4,,Mier1
Map1b,,21.39621293,12.79866129,Map1b,2210408I21Rik,0.001436901,0.000964007,Ttyh1,,Syn1
Aldoa,,21.14470684,3.186743711,Aldoa,2210416O15Rik,6.58E-06,0.000964011,Dab2ip,,Dlgap3
2900097C17Rik,,21.09939015,12.6397693,2900097C17Rik,2300009A05Rik,0.00081553,0.000964009,Dync1i1,,Metrn
Purb,,21.03615307,7.06451404,Purb,2310001H17Rik,0.041354835,1.267313277,Mdh2,,Slc13a4
Nnat,,20.85755788,10.90056857,Nnat,2310003H01Rik,0,0.00096401,Fxyd6,,Rbfox1
Nrxn2,,20.83869853,1.377007646,Nrxn2,2310005G13Rik,3.85E-06,0.00096401,Fam163b,,Vtn
Cx3cl1,,20.79435224,4.50779541,Cx3cl1,2310008H04Rik,5.81E-07,0.000964008,Atp2b1,,Ptgfrn
Fyco1,,20.72555329,3.441428772,Fyco1,2310009A05Rik,0,0.186683928,Tyro3,,Mdk
Ifi27l1,,20.65051201,3.217984484,Ifi27l1,2310009B15Rik,0.080657208,0.091176647,Mmd2,,Celf2
Mmd2,,20.63900964,1.898116881,Mmd2,2310010J17Rik,0.006798972,0.000964011,Ifi27l1,,Map2
Tyro3,,20.5643555,9.049922995,Tyro3,2310011J03Rik,0.910317141,0.854710709,Fyco1,,Phactr3
Atp2b1,,20.54701527,1.774288506,Atp2b1,2310015A10Rik,0.013641398,1.363419396,Cx3cl1,,Gja1
Fam163b,,20.48353551,8.087938517,Fam163b,2310015B20Rik,0.072159799,0.78123173,Nrxn2,,Ly6a
Fxyd6,,20.47827207,4.495273062,Fxyd6,2310022A10Rik,2.235278523,7.059660468,Nnat,,Kctd17
Mdh2,,20.40747488,3.096056292,Mdh2,2310022B05Rik,5.238567582,0.035868543,Purb,,Apoe
Dync1i1,,20.40108671,7.14164587,Dync1i1,2310030G06Rik,0.151902193,0.209468652,2900097C17Rik,,Hey2
Dab2ip,,20.32441486,1.877934269,Dab2ip,2310033P09Rik,0.000750377,0.000969066,Aldoa,,Trak2
Ttyh1,,20.20389289,2.936777613,Ttyh1,2310034G01Rik,0.027660233,0.37279446,Map1b,,Nrep
